klub	branek	domaci	zapasu	cena	vyhry
HC Olomouc	158	77	26	100	11
BK Mladá Boleslav	163	83	26	120	10
HC Sparta Praha	157	92	26	120	17
HC VÍTKOVICE STEEL	130	70	26	150	18
HC Oceláři Třinec	148	94	26	100	19
Bílí Tygři Liberec	126	69	26	140	16
HC Slavia Praha	144	58	26	100	9
HC ČSOB Pojišťovna Pardubice	155	81	26	120	14
PSG Zlín	152	79	26	110	16
HC VERVA Litvínov	142	93	26	100	21
HC Energie Karlovy Vary	124	67	26	70	15
HC Škoda Plzeň	154	87	26	130	16
Mountfield HK	140	78	26	100	19
HC Kometa Brno	134	76	26	170	17
